id,chinese,latin,family,category,definition
1,蓍草类,Achillea,菊科,蓍草属,Achillea，人名。
2,乌头类,Aconitum,毛茛科,乌头属,Aconitum，一种植物名。
3,菖蒲,Acorus calamus,天南星科,菖蒲属,calamus，芦苇。
4,铁线蕨,Adiantum capillus-veneris,铁线蕨科,铁线蕨属,capillus-veneris，维纳斯的头发。
5,尖萼凤梨属,Aechmea,凤梨科,尖萼凤梨属,Aechmea，矛头。
6,藿香蓟,Ageratum conyzoides,菊科,藿香蓟属,
7,广东万年青属,Aglaonema,天南星科,广东万年青属,Aglaonema，有明亮的线，指雄蕊像亮丝。
8,大花葱,Allium giganteum,百合科,葱属,giganteum，巨大的。
9,红草五色苋,Alternanthera amoena,苋科,虾钳菜属,amoena，可爱的。
10,五色苋,Alternanthera bettzickiana,苋科,虾钳菜属,bettzickiana，Bettzick（人名）的。
11,蜀葵,Althaea rosea（=Alcea rosea）,锦葵科,蜀葵属,Althaea，医治;rosea，粉红的、淡红的。
12,庭荠类,Alyssum,十字花科,庭荠属,
13,雁来红,Amaranthus tricolor,苋科,苋属,tricolor，三色的。
14,花烛属,Anthurium,天南星科,花烛属,Anthurium，花尾巴。
15,金鱼草,Antirrhinum majus,玄参科,金鱼草属,majus，较大的。
16,耧斗菜,Aquilegia,毛茛科,耧斗菜属,Aquilegia，抽水者。
17,丽蚌草、银边草,Arrhenatherum elatius var. bulbosum ‘Variegatum’,禾本科,燕麦草属,
18,天门冬属,Asparagus,百合科,天门冬属,Asparagus，强刺的。
19,一叶兰,Aspidistra elatior,百合科,蜘蛛抱蛋属,elatior，较高的。
20,荷兰菊,Aster novi-belgii,菊科,紫菀属,novi-belgii，纽约的。
21,紫菀,Aster tataricus,菊科,紫菀属,tataricus，鞑靼人的。
22,落新妇,Astilbe chinensis,虎耳草科,落新妇属,chinensis，中国的。
23,球根秋海棠,Begonia tuberhybrida,秋海棠科,秋海棠属,tuberhybrida，杂交块根的。
24,四季秋海棠,Begonia semperflorens,秋海棠科,秋海棠属,semperflorens，常开花的。
25,丽格秋海棠,Begonia × elatior,秋海棠科,秋海棠属,Begonia，M. Begen（人名）。
26,蟆叶秋海棠,Begonia rex,秋海棠科,秋海棠属,rex，国王。
27,雏菊,Bellis perennis,菊科,雏菊属,perennis，不断的。
28,水塔花,Billbergia pyramidalis,凤梨科,水塔花属,pyramidalis，金字塔型的。
29,羽衣甘蓝,Brassica oleracea var. acephala f. tricolor,十字花科,甘蓝属,oleracea，属于厨房的。
30,花叶芋,Caladium hortullanum,天南星科,花叶芋属,hortullanum，园丁的。
31,肖竹芋属,Calathea,竹芋科,肖竹芋属,Calathes，手篮。
32,蒲包花,Calceolaria herbeohybrida,玄参科,蒲包花属,herbeohybrida，草本间杂交的。
33,金盏菊,Calendula officinalis,菊科,金盏菊属,officinalis，药用的。
34,翠菊,Callistephus chinensis,菊科,翠菊属,chinensis，亚洲的、中国的。
35,风铃草属,Campanula,桔梗科,风铃草属,
36,大花美人蕉,Canna generalis,美人蕉科,美人蕉属,generalis，普通的。
37,长春花,Catharanthus roseus,夹竹桃科,长春花属,roseus，玫红色的。
38,卡特兰属,Cattleya,兰科,卡特兰属,Cattleya，人名
39,鸡冠花,Celosia cristata,苋科,青葙属,cristata，鸡冠状的。
40,矢车菊类,Centaurea,菊科,矢车菊属,Centaurea，神话中半人半马的物。
41,袖珍椰子,Chamaedorea elegans,棕榈科,袖珍椰子属,elegans，雅致的。
42,吊兰,Chlorophytum comosum,百合科,吊兰属,comosum，被簇毛的。
43,菊花,Chrysanthemum morifolium,菊科,茼蒿菊属,morifolium，桑叶的。
44,菱叶葡萄属,Cissus,葡萄科,白粉藤属,Cissus，常绿藤。
45,铁线莲类,Clematis,毛茛科,铁线莲属,Clematis，爬蔓的植物。
46,大花君子兰,Clivia miniata,石蒜科,君子兰属,miniata，朱红色。
47,变叶木,Codiaeum variegatum var. pictum,大戟科,变叶木属,variegatum，具细枝的。
48,金鱼花属,Columnea,苦苣苔科,金鱼花属,Columnea，人名。
49,铃兰,Convallaria majalis,百合科,铃兰属,majalis，五月的。
50,朱蕉属,Cordyline,百合科,朱蕉属,Cordy，棍棒。
51,金鸡菊类,Coreopsis,菊科,金鸡菊属,Coreopsis，似臭虫的（指种子形状）。
52,蛇目菊,Coreopsis tinctoria,菊科,金鸡菊属,tinctoria，着色的。
53,波斯菊,Cosmos bipinnatus,菊科,秋英属,bipinnatus，二回羽状的。
54,文殊兰类,Crinum,石蒜科,文殊兰属,
55,番红花类,Crocus,鸢尾科,番红花属,Crocus，橙黄色。
56,栉花芋属,Ctenant,竹芋科,栉花芋属,
57,仙客来,Cyclamen persicum,报春花科,仙客来属,persicum，波斯的。
58,兰属,Cymbidium,兰科,兰属,
59,大丽花,Dahlia pinnata,菊科,大丽花属,pinnata，羽状的。
60,大花飞燕草,Delphinium grandiflorum,毛茛科,翠雀属,Delphinium，海豚。
61,石斛兰属,Dendrobium,兰科,石斛兰属,Dendro，树;bios，生长。
62,香石竹,Dianthus caryophyllus,石竹科,石竹属,caryophyllus，具有丁香香气的。
63,锦团石竹,Dianthus chinensis var. heddewigii,石竹科,石竹属,Dianthus，圣花。
64,须苞石竹,Dianthus barbatus,石竹科,石竹属,barbatus，被髯毛的。
65,常夏石竹,Dianthus plumarius,石竹科,石竹属,plumarius，羽毛的。
66,荷包牡丹,Dicentra spectabilis,罂粟科,荷包牡丹属,spectabilis，醒目的。
67,花叶万年青属,Dieffenbachia,天南星科,花叶万年青属,Dieffenbachia，人名。
68,毛地黄,Digitalis purpurea,玄参科,毛地黄属,purpurea，紫色的。
69,龙血树属,Dracaena,百合科,龙血树属,Drakaina，雌龙或蛇。
70,紫松果菊,Echinacea purpurea,菊科,紫松果菊属,Echinacea，刺猬、海胆;purpurea，紫色的。
71,金琥,Echinocactus grusonii,仙人掌科,金琥属,grusonii，Gruson（人名）。
72,凤眼莲,Eichhornia crassipes,雨久花科,凤眼莲属,crassipes，粗柄的。
73,绿萝,Epipremnum aureum,天南星科,绿萝属,aureum，金黄色的
74,花菱草,Eschscholtzia californica,罂粟科,花菱草属,californica，加利福尼亚的。
75,银边翠,Euphorbia marginata,大戟科,大戟属,marginata，边缘的。
76,一品红,Euphorbia pulcherrima,大戟科,大戟属,pulcherrima，极美丽的。
77,芡,Euryale ferox,睡莲科,芡属,ferox，多刺的。
78,网纹草属,Fittonia,爵床科,网纹草属,Fittonia，人名。
79,小苍兰,Freesia refracta,鸢尾科,小苍兰属,Freesia，人名;refracta，曲折的。
80,倒挂金钟,Fuchsia hybrida,柳叶菜科,倒挂金钟属,hybrida，杂交的。
81,宿根天人菊,Gaillardia aristata,菊科,天人菊属,aristata，具芒的。
82,非洲菊,Gerbera jamesonii,菊科,大丁草属,jamesoni，Jameson（人名）的。
83,唐菖蒲,Gladiolus hybridus,鸢尾科,唐菖蒲属,hybridus，杂交的。
84,千日红,Gomphrena globosa,苋科,千日红属,globosa，球形的。
85,果子蔓属,Guzmania,凤梨科,果子蔓属,
86,霞草,Gypsophila elegans,石竹科,丝石竹属,elegans，雅致的。
87,西洋常春藤,Hedera helix,五加科,常春藤属,helix，螺旋形。
88,麦秆菊,Helichrysum bracteatum,菊科,蜡菊属,bracteatum，具苞片的。
89,萱草属,Hemerocallis,百合科,萱草属,
90,芙蓉葵,Hibiscus moscheutos,锦葵科,木槿属,moscheutos，芙蓉葵。
91,杂种朱顶红,Hippeastrum hybridum,石蒜科,朱顶红属,hybridum，杂交的。
92,玉簪,Hosta plantaginea,百合科,玉簪属,plantaginea，车前状的。
93,紫萼,Hosta ventricosa,百合科,玉簪属,ventricosa，偏肿的。
94,风信子,Hyacinthus orientalis,百合科,风信子属,orientalis，东方的。
95,凤仙花,Impatiens balsamina,凤仙花科,凤仙花属,balsamina，（古）凤仙花属。
96,新几内亚凤仙,Impatiens hawkeri,凤仙花科,凤仙花属,hawkeri，Hawker（人名）的。
97,非洲凤仙,Impatiens walleriana,凤仙花科,凤仙花属,Impatiens，无耐心的，指果实成熟后易弹裂。
98,花菖蒲,Iris ensata,鸢尾科,鸢尾属,ensata，剑型的。
99,德国鸢尾,Iris germannica,鸢尾科,鸢尾属,germannica，德国的。
100,蝴蝶花,Iris japonica,鸢尾科,鸢尾属,japonica，日本的。
101,马蔺,Iris lactea var. chinensis,鸢尾科,鸢尾属,lactea，乳白色的。
102,燕子花,Iris laevigata,鸢尾科,鸢尾属,laevigata，光滑的。
103,黄菖蒲,Iris pseudacorus,鸢尾科,鸢尾属,pseudacorus，假菖蒲。
104,鸢尾,Iris tectorum,鸢尾科,鸢尾属,tectorum，生于屋顶的。
105,杂种火炬花,Kniphofia hybrida,百合科,火把莲属,Kniphofia，剑叶兰属。
106,地肤,Kochia scoparia,藜科,地肤属,scoparia，扫帚状的。
107,蛇鞭菊,Liatris spicata,菊科,蛇鞭菊属,spicata，穗状的。
108,麝香百合,Lilium longiflorum,百合科,百合属,longiflorum，长叶的。
109,生石花,Lithops pseudotruncatella,番杏科,生石花属,pseudotruncatella，假的。
110,香雪球,Lobularia maritima,十字花科,香雪球属,maritima，生于海滨的。
111,多叶羽扇豆,Lupinus polyphyllus,豆科,羽扇豆属,polyphyllus，具多叶的。
112,剪秋萝类,Lychnis,石竹科,剪秋萝属,Lychnis，电灯。
113,忽地笑,Lycoris aurea,石蒜科,石蒜属,Lycoris，女海神的名字;aurea，金黄色的。
114,石蒜,Lycoris radiata,石蒜科,石蒜属,radiata，辐射状的。
115,千屈菜,Lythrum salicaria,千屈菜科,千屈菜属,salicaria，像柳树的。
116,竹芋属,Maranta,竹芋科,竹芋属,Maranta，人名。
117,紫罗兰,Matthiola incana,十字花科,紫罗兰属,incana，被灰白毛的。
118,紫茉莉,Mirabilis jalapa,紫茉莉科,紫茉莉属,jalapa，（墨西哥）哈拉帕。
119,龟背竹,Monstera deliciosa,天南星科,龟背竹属,deliciosa，美味的。
120,葡萄风信子,Muscari botryoides,百合科,蓝壶花属,botryoides，像一串葡萄的。
121,喇叭水仙,Narcissus pseudo-narcissus,石蒜科,水仙属,pseudo-narcissus，假水仙。
122,中国水仙,Narcissus tazetta var. chinensis,石蒜科,水仙属,tazetta，水仙花。
123,荷花,Nelumbo nucifera,睡莲科,莲属,nucifera，产坚果的。
124,巢蕨,Neottopteris nidus,铁角蕨科,巢蕨属,nidus，鸟巢的。
125,肾蕨属,Nephrolepis,骨碎补科,肾蕨属,Nephrolepis，肾形鳞片的。
126,红花烟草,Nicotiana × sanderae,茄科,烟草属,Nicotiana，Jean Nicot（人名）。
127,令箭荷花,Nopalxochia ackermannii,仙人掌科,令箭荷花属,ackermannii，Ackermann（人名）。
128,萍蓬莲,Nupahar pumilum,睡莲科,萍蓬草属,pumilum，矮小的。
129,睡莲属,Nymphaea,睡莲科,睡莲属,Nymphaea，神话中女神名。
130,荇菜,Nymphoides peltata,龙胆科,荇菜属,peltata，盾状的。
131,瘤瓣兰属,Oncidium,兰科,瘤瓣兰属,Onkos，瘤;eides，形。
132,仙人掌,Opuntia dillenii,仙人掌科,仙人掌属,dillenii，Dillenius（人名）。
133,芍药,Paeonia lactiflora,芍药科,芍药属,lactiflora，乳白色花的。
134,冰岛罂粟,Papaver nudicaule,罂粟科,罂粟属,nudicaule，裸茎的。
135,东方罂粟,Papaver orientale,罂粟科,罂粟属,orientale，东方的。
136,虞美人,Papaver rhoeas,罂粟科,罂粟属,rhoeas，虞美人。
137,兜兰属,Paphiopedilum,兰科,兜兰属,Paphos，圣地维纳斯;pedilon，拖鞋。
138,大花天竺葵,Pelargonium × domesticum,牻牛儿苗科,天竺葵属,
139,天竺葵,Pelargonium hortorum,牻牛儿苗科,天竺葵属,hortorum，庭院栽培的。
140,盾叶天竺葵,Pelargonium peltatum,牻牛儿苗科,天竺葵属,peltatum，盾状的。
141,钓钟柳类,Penstemon,玄参科,钓钟柳属,Penstemon，5个雄蕊。
142,豆瓣绿属,Peperomia,胡椒科,豆瓣绿属,Peper，胡椒;omma，相似。
143,矮牵牛,Petunia hybrida,茄科,碧冬茄属,hybrida，杂交的。
144,蝴蝶兰属,Phalaenopsis,兰科,蝴蝶兰属,Phala，蛾蝶;opsis，模样。
145,大花牵牛,Pharbitis nil,旋花科,牵牛属,nil，牵牛花（俗名）。
146,春芋,Philodendron selloum,天南星科,喜林芋属,selloum，Sellow（人名）的。
147,宿根福禄考,Phlox paniculata,花荵科,福禄考属,paniculata，圆锥花序的。
148,随意草,Physostegia virginiana,唇形科,假龙头花属,virginiana，弗吉尼亚的。
149,冷水花,Pilea cadierei,荨麻科,冷水花属,cadierei，Cadiere（人名）的。
150,大薸,Pistia stratiotes,天南星科,大薸属,stratiotes，大薸。
151,二叉鹿角蕨,Platycerium bifurcatum,水龙骨科,鹿角蕨属,bifurcatum，二次分叉的。
152,桔梗,Platycodon grandiflorus,桔梗科,桔梗属,grandiflorus，大花的。
153,晚香玉,Polianthes tuberose,石蒜科,晚香玉属,tuberose，块茎。
154,福禄桐属,Polyscias,五加科,福禄桐属,
155,梭鱼草,Pontederia cordata,雨久花科,梭鱼草属,cordata，心形的。
156,半支莲,Portulaca grandiflora,马齿苋科,马齿苋属,grandiflora，大花的。
157,报春花,Primula malacoides,报春花科,报春花属,malacoides，像锦葵的。
158,四季报春,Primula obconica,报春花科,报春花属,obconica，倒圆锥形的。
159,多花报春,Primula × polyantha,报春花科,报春花属,polyantha，多花的。
160,白头翁,Pulsatilla chinensis,毛茛科,白头翁属,
161,羽叶茑萝,Quamoclit pennata,旋花科,茑萝属,pennata，羽状的。
162,花毛茛,Ranunculus asiaticus,毛茛科,毛茛属,asiaticus，亚洲的。
163,金光菊类,Rudbeckia,菊科,金光菊属,Rudbeckia，人名。
164,慈姑,Sagittaria trifolia,泽泻科,慈姑属,trifolia，三叶的。
165,一串红,Salvia splendens,唇形科,鼠尾草属,splendens，光亮的。
166,虎尾兰,Sansevieria trifasciata,百合科,虎尾兰属,trifasciata，三束的。
167,鹅掌藤,Schefflera arboricola,五加科,鸭脚木属,arboricola，生于树上的。
168,水葱,Scirpus tabernaemontani,莎草科,藨草属,tabernaemontani，Tabenaemontaus（人名）的。
169,费菜,Sedum aizoon,景天科,景天属,aizoon，景天三七。
170,勘察加景天,Sedum kamtschaticum,景天科,景天属,kamtschaticum，勘察加的。
171,垂盆草,Sedum sarmentosum,景天科,景天属,sarmentosum，具长匍匐茎的。
172,蝎子草,Sedum spectabile,景天科,景天属,spectabile，醒目的。
173,卷柏属,Selaginella,卷柏科,卷柏属,
174,银叶菊,Senecio cineraria,菊科,千里光属,cineraria，灰色的。
175,瓜叶菊,Senecio cruentus,菊科,千里光属,cruentus，血红色。
176,大岩桐,Sinningia hybrida,苦苣苔科,大岩桐属,hybrida，杂交的。
177,加拿大一枝黄花,Solidago canadensis,菊科,一枝黄花属,canadensis，加拿大的。
178,白鹤芋属,Spathiphyllum,天南星科,白鹤芋属,Spathe，佛焰苞;phyllon，叶。
179,鹤望兰,Strelitzia reginae,旅人蕉科,鹤望兰属,reginae，王后。
180,万寿菊,Tagetes erecta,菊科,万寿菊属,erecta，直立的。
181,再力花,Thalia dealbata,茖叶科,再力花属,dealbata，被白粉的。
182,铁兰属,Tillandsia,凤梨科,铁兰属,Tillandsia，人名。
183,夏堇,Torenia fournieri,玄参科,蝴蝶草属,fournieri，Fournier（人名）的。
184,旱金莲,Tropaeolum majus,旱金莲科,旱金莲属,majus，较大的。
185,现代郁金香,Tulipa spp.,百合科,郁金香属,
186,香蒲,Typha angustata,蒲科,香蒲属,angustata，变窄的。
187,万带兰属,Vanda,兰科,万带兰属,Vandaka，寄生植物。
188,美女樱,Verbena × hybrida,马鞭草科,马鞭草属,Verbena，马鞭草。
189,穗状婆婆纳,Veronica spicata,玄参科,婆婆纳属,spicata，穗状的。
190,王莲,Victoria amazonica,睡莲科,王连属,amazonica，亚马逊的。
191,大花三色堇,Viola × wittrockiana,堇菜科,堇菜属,
192,丽穗凤梨属,Vriesea,凤梨科,丽穗凤梨属,Vriesea，人名。
193,马蹄莲,Zantedeschia aethiopica,天南星科,马蹄莲属,aethiopica，埃塞俄比亚的。
194,吊竹梅,Zebrina pendula,鸭跖草科,吊竹梅属,pendula，垂花的。
195,葱兰,Zephyranthes candida,石蒜科,葱兰属,candida，纯白色的。
196,韭兰,Zephyranthes carinata,石蒜科,葱兰属,carinata，龙骨状的。
197,百日草,Zinnia elegans,菊科,百日草属,elegans，雅致的。
198,蟹爪兰,Zygocactus truncactus,仙人掌科,蟹爪兰属,truncactus，截形的。