id,author,subtitle,sentence
1,na,一花一世界，一叶一菩提,又见面了
2,尼采,人跟树一样，越是向往高处的阳光，他的根越要伸向地底深处。,想你了
3,培根,天然的才能好像天然的植物，需要学问来修剪。,学霸君
4,华盛顿,真正的友情，是一株成长缓慢的植物。,沉迷学习
5,华盛顿,自由一旦扎根，就会像植物一样迅速生长。,我还能学
6,鲁迅,人类，是一种使思想开花结果的植物。,目光坚毅
7,莱布尼茨,没有两片完全相同的树叶。,一骑绝尘
8,na,勤学似春起之苗，不见其增，而日有所长。,拉丁陪你
9,na,不付诸行动的希望，犹如不结果实的大树,别打扰我
10,na,树无根不长，人无志不立,去背书吧
11,na,每棵大树，都曾只是一粒种子,拉丁美人
12,na,树高者鸟宿之，德厚者士趋之,给你点赞
13,na,欲为大树，莫与草争,为你加油
14,na,高松出众木，伴我向天涯,会考上的
15,na,合抱之木，生于亳末，九层之台，起于累土。,你一定行
16,na,唯爱门前双柳树，枝枝叶叶不相离。,我爱拉丁
17,na,要想富，多栽树,拉丁爱我
18,na,碧水青山，就是金山银山,太难了
19,杨万里,接天莲叶无穷碧，映日荷花别样红。,拉丁救我
20,王勉,不要人夸好颜色，要留清气满乾坤,无事背背
21,张志和,西塞山前白鹭飞，桃花流水鳜鱼肥。,熬夜学习
22,龚自珍,落红不是无情物，化作春泥更护花。,听妈妈的话
23,卢梅坡,梅须逊雪三分白，雪却输梅一段香。,走哪背哪
24,na,桃花流水突然去，别有天地非人间,边走边背
25,na,无肉令人瘦，无竹令人俗,一起背吧
26,na,梨花院落溶溶月，柳絮池塘淡淡风,天天拉丁
27,na,蜀国曾闻子规鸟，宣城还见杜鹃花,就喜欢你
28,na,沾衣欲湿杏花雨，吹面不寒杨柳风,废寝忘食
29,na,人闲桂花落，夜静春山空,分秒必争
30,na,家有梧桐树，自有凤凰来,衣不解带
31,na,江南有丹橘，经冬犹绿林,只争朝夕
32,na,树欲静而风不止,早，追梦人
33,na,我寂寞得只需要一盆植物陪着我,人间浪漫
34,na,桃花流水突然去，别有天地非人间,(ง •_•)ง