1,你的心不该受制于那些昙花一现、多变的东西，因为即使哈里发种族灭亡了，底格里斯河仍会自巴格达流淌而过。,瓦尔登湖
2,如果我们醒后的生命并不比睡时更崇高，那么这样的白天，即使我们称之为白天，也是无望的白天。,瓦尔登湖
3,每个人都应该去践行他在生命最崇高、最重要时刻所立下的誓言，让他的生命，甚至生命中的细枝末节都与之匹配。,瓦尔登湖
4,我们为什么要如此匆忙的活着，为什么要浪费生命呢？,瓦尔登湖
5,然而，当我们开始寻找真理时，我们便是不朽的，我们不必为突如其来的变化或意外忧心忡忡。,瓦尔登湖
6,倘若这些英雄的篇章被译为我们自己的语言，那么在这个时代，它们也终将被湮灭、腐坏。所以，我们必须不为辛苦的找出书中句子的真意，用我们的勇气、智慧和坚毅探求出它们最原始的含义。,瓦尔登湖
7,那里布满繁星，有能力的人便能读懂它，正如天文学家穷尽一生观察、解读群星。,瓦尔登湖
8,他们所面向的是人类的精神世界，他们的听众不分年龄，不分时代，但须能领会他们笔下的深意。,瓦尔登湖
9,我们在身体调理方面花费颇多，在精神滋养方面却一毛不拔。,瓦尔登湖
10,书中许多言论恰到好处的指明了我们所处的境地，如果我们耐心聆听，并且认真领悟，他们会为我们的生活带来远胜黎明和初春的妙处，甚至让我们精神焕发，多少是因为一本书而步入新生啊。,瓦尔登湖
11,除此之外，从中的到智慧，会让我们变得慷慨。,瓦尔登湖
12,从我眼前驶过的这些车厢里的旧帆布，是多么生动、多么有趣。然而，它一旦变成纸，做成书，便乏味寡淡得多了。除了它们，还有什么能如此清晰地记录下它们所经历过的波涛与风暴呢？,瓦尔登湖
13,我生活在独属于自己的世界，这里有独属于我的日月星辰。,瓦尔登湖
14,当我享受着四季的爱抚时，任何事情都不会成为我的负担。,瓦尔登湖
15,然而大多数时候，我们却将那些稍纵即逝的事情视为一生的使命。,瓦尔登湖
16,我可以被一场戏剧感动，也可以对生死攸关的大事无动于衷。,瓦尔登湖
17,不论我的经历给我带来多大的影响，我仍能感觉到我身体的一部分在对我进行批判，或者说他并不是我，而是一个旁观者，他与我无关，不曾经历过我的生活，却无时无刻关注着我。,瓦尔登湖
18,社交是一种廉价的活动，我们急于见面，却又在未能从对方身体上获得新的价值时匆匆离去。,瓦尔登湖
19,我并不比草原上的一朵毛蕊花或者蒲公英寂寞，也不比一颗豆叶，一颗醡浆草寂寞，甚至牛虻，甚至黄蜂，哪怕四月的初春和一月的融雪，新宅中首位到访的蜘蛛，我并不比它们更加寂寞。,瓦尔登湖
20,当我与客人们开怀畅谈时，我很难与它们保持恰当的距离，而思想需要一定空间的。,瓦尔登湖
21,人们往往与他们的父辈一样，要么勇敢，要么怯懦。,瓦尔登湖
22,海岸至今仍回响这那次勇敢的尝试。,瓦尔登湖
23,我希望所有的草原都是荒芜的，人们需要在这片荒芜上救赎自己。,瓦尔登湖
24,一次全新的航行需要不断的演算和测量，而他们又不确定怎样到达彼岸。,瓦尔登湖
25,然而，当我翻过山坡，奔向霞光染红的西方时，一道彩虹被挂在我的肩头，细微的叮咚声在空气中回响，传入我的耳朵，隐约地，我视乎听到心底发出的声音，每天都去钓鱼捕猎吧，去那更远更开阔的地方，在数不尽的小溪或炉火旁休息，自由自在，无忧无虑。,瓦尔登湖
26,听一听回荡在风中的谴责吧，它就在那儿。,瓦尔登湖
27,我们将思想如木片般晾晒，坐着将它们修整一番，试试刀具，也欣赏一下松木上泛黄的透着亮的纹理。,瓦尔登湖
28,